id,Регион (справочник),Варианты в файле
reckmwkWnX3nKNZ5a,Алматинская область,АЛМА-АТА АЛМАТИНСКОЙ ОБЛАСТИ РЕСПУБЛИКИ; КУГАЛЫ ГВАРДЕЙСКОГО РАЙОНА АЛМАТИНСКОЙ ОБЛАСТИ; ЛЕПСЫ САРКАНДСКОГО РАЙОНА АЛМАТИНСКОЙ ОБЛАСТИ
recGpGJeaJOmoIpMK,Алтайский край,АЛТАЙСКИЙ АЛТАЙСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ
rec27YxE7LzGGG5qB,Амурская область,АМУРСК ХАБАРОВСКОГО КРАЯ; АРХАРА АМУРСКОЙ ОБЛАСТИ; БЕЛОГОРСК АМУРСКОЙ ОБЛАСТИ; БЛАГОВЕЩЕНСК АМУРСКОЙ ОБЛАСТИ; ВОЗЖАЕВКА БЕЛОГОРОДСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; ГУРАН АМУРСКОЙ ОБЛАСТИ; ЕКАТЕРИНОСЛАВКА ОКТЯБРЬСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; ЕРКОВЦЫ ИВАНОВСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; ЗАВИТИНСК АМУРСКОЙ ОБЛАСТИ; ЗЕЯ АМУРСКОЙ ОБЛАСТИ; ИННОКЕНТЬЕВКА ЗАВИТИНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; КЛЮЧИ БЕЛОГОРСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; КОМИССАРОВКА БЕЛОГОРСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; КУВЫКТА ДЖЕЛТУЛАКСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; МАГДАГАЧИ МАГДАГАЧИНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; МАЛИНОВКА БУРЕЙСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; МАРКОВО БЛАГОВЕЩЕНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; МОГОТ ТЫНДИНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; НАГОРНЫЙ ОКТЯБРЬСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; НОВО-СТЕПАНОВКА СВОБОДНЕНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; НОВОБУРЕЙСКИЙ БУРЕЙСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; ОБЛУЧЬЕ АМУРСКОЙ ОБЛАСТИ; РАЙЧИХИНСК АМУРСКОЙ ОБЛАСТИ; РАЙЧИХИНСКА АМУРСКОЙ ОБЛАСТИ; РОМНЫ РОМНЕНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; САВЕЛЬЕВКА БЕЛОГОРСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; СВОБОДНЫЙ АМУРСКОЙ ОБЛАСТИ; СЕМЕНОВКА АМУРСКОЙ ОБЛАСТИ; СЕРЫШЕВСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; СКОВОРОДИНО АМУРСКОЙ ОБЛАСТИ; СМЕЛОЕ ОКТЯБРЬСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; СОЛОВЬЕВСК ТЫНДИНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; СЫЧЕВКА СВОБОДНЕНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; ТАЛДАН СКОВОРОДИНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; ТЫНДА АМУРСКОЙ ОБЛАСТИ; УСПЕНОВКА ИВАНОВСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; ЧЕРНИГОВКА СВОБОДНЕНСКОГО РАЙОНА АМУРСКОЙ ОБЛАСТИ; ШИМАНОВСК АМУРСКОЙ ОБЛАСТИ
recTocXLYjNQHMnZV,Архангельская область,АРХАНГЕЛЬСК АРХАНГЕЛЬСКОЙ ОБЛАСТИ; ЕМЕЦК ХОЛМОГОРСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; КАМЕНКА МЕЗЕНСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; КАТУНИНО ПРИМОРСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; КОРЯЖМА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; КОТЛАС АРХАНГЕЛЬСКОЙ ОБЛАСТИ; КОТЛАСА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; КУЛОЙ ВЕЛЬСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; ЛАЯ ПРИМОРСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; МИРНЫЙ АРХАНГЕЛЬСКОЙ ОБЛАСТИ; НАВОЛОЦКАЯ ВЕРХНЕТОЕМСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; НАРЬЯН-МАР НАО АРХАНГЕЛЬСКОЙ ОБЛАСТИ; НОВАЯ НЯНДОМСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; НОВОДВИНСК АРХАНГЕЛЬСКОЙ ОБЛАСТИ; ОКТЯБРЬСКИЙ УСТЬЯНСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; ОНЕГА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; ПЛЕСЕЦК ПЛЕСЕЦКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; САВИНСКИЙ ПЛЕСЕЦКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; САМОДЕД ПЛЕСЕЦКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; СВЕТЛЫЙ ХОЛМОГОРСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; СЕВЕРОДВИНСК АРХАНГЕЛЬСКОЙ ОБЛАСТИ; СТРОИТЕЛЬ ПЛЕСЕЦКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; УДИМСКИЙ КОТЛАССКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ; ХАЧЕЛА ОНЕЖСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ
rec4p5C0CRca8U587,Астраханская область,АКСАРАЙСК КРАСНОЯРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; АКСАРАЙСКИЙ КРАСНОЯРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; АКСАРАЙСКОЕ КРАСНОЯРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; АКТУБИНСК АКТЮБИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; АСТРАХАНСКИЙ НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; АСТРАХАНСКОЙ ОБЛАСТИ; АСТРАХАНЬ АСТРАХАНСКОЙ ОБЛАСТИ; АХТУБИНСК АСТРАХАНСКОЙ ОБЛАСТИ; АХТУБИНСК АХТУБИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; БАСКУНЧАК АХТУБИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; БАШМАКОВКА ПРИВОЛЖСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; БИРЮКОВКА ПРИВОЛЖСКИЙ РАЙОН АСТРАХАНСКОЙ ОБЛАСТИ; БОЛХУНЫ АХТУБИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; БУГОР ПРИВОЛЖСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; БУРУНЫ НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ВЕРХНИЙ БУЗАН КРА; ВОЛЖСКОЕ НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ВОЛОДАРСКИЙ АСТРАХАНСКОЙ ОБЛАСТИ; ВОЛЬНОЕ ХАРАБАЛИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ВОСТОК АСТРАХАНСКОЙ ОБЛАСТИ; ВОСТОК ЕНОТАЕВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ГРИВА ПРИВОЛЖСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ГУСИНОЕ ИКРЯНИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ДРОФИНЫЙ НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ЕНОТАЕВКА ЕНОТАЕВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ЗАМЬЯНЫ АСТРАХАНСКОЙ ОБЛАСТИ; ЗАМЬЯНЫ ЕНОТАЕВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ЗАРЕЧНОЕ ЛИМАНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ЗЕНЗЕЛИ ЛИМАНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ЗНАМЕНСК АСТРАХАНСКОЙ ОБЛАСТИ; ЗОЛОТУХА АХТУБИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ИКРЯНОЕ ИКРЯНИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ИЛЬИНКА АСТРАХАНСКОЙ ОБЛАСТИ; КАМЫЗЯК АСТРАХАНСКОЙ ОБЛАСТИ; КАРАГАШ НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; КРАСНЫЙ ЯР КРА; КРЯЖЕВОЕ ЛИМАНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; КУЛАКОВКА ПРИВОЛЖСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; МАКОВО ВОЛОДАРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; МОГОЙ ВОЛОДАРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; МУМРА ИКРЯНИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; НАРИМАНОВ АСТРАХАНСКОЙ ОБЛАСТИ; НАРИМАНОВ НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; НИКОЛЬСКИЙ ЕНОТАЕВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; НОВО-УРУСОВКА КРАСНОЯРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; НОВОЛЕСНОЙ ПРИВОЛЖСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; НОВОУРУСОВКА КРАСНОЯРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ОБРАЗЦОВА ТРАВИНА АСТРАХАНСКОЙ ОБЛАСТИ; ОРАНЖЕРЕИ ИКРЯНИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ПЕТРОПАВЛОВКА НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ПРИКАСПИЙСКИЙ НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ПРИШИБ ЕНОТАЕВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; РАССВЕТ НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; РЫЧАН ВОЛОДАРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; САМОСДЕЛКА КАМЫЗЯКСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; САСЫКОЛИ ХАРАБАЛИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; СЕИТОВКА КРАСНОЯРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; СЕЛИТРЕННОЕ ХАРАБАЛИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; СЕМИБУГРЫ КАМЫЗЯКСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; СОЛЯНКА НАРИМАНОВСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; СТЕПНОЙ КРАСНОЯРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; СТОЛБОВОЙ ВОЛОДАРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ТИШКОВО ВОЛОДАРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ТРАВИНО КАМЫЗЯКСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ТРУБНЫЙ ВОЛОДАРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ТУЗУКЛЕЙ КАМЫЗЯКСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ХАРАБАЛИ АСТРАХАНСКОЙ ОБЛАСТИ; ХАРАБАЛИ ХАРАБАЛИНСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ШАРАПОВСКИЙ КАМЫЗЯКСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ЯБЛОНКА ВОЛОДАРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ; ЯР ЧЕРНОЯРСКОГО РАЙОНА АСТРАХАНСКОЙ ОБЛАСТИ
reciRasIg7Ah0UNkP,Белгородская область,АЛЕКСЕЕВКА БЕЛГОРОДСКОЙ ОБЛАСТИ; БЕЛГОРОД БЕЛГОРОДСКОЙ ОБЛАСТИ; БЕЛГОРОДСКАЯ ОБЛАСТЬ; БЕЛЕНИХИНО ПРОХОРОВСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; БОРИСОВКА БОРИСОВСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; ВАЛУЙКИ БЕЛГОРОДСКОЙ ОБЛАСТИ; ВОЛОКОНОВКА БЕЛГОРОДСКОЙ ОБЛАСТИ; ВОЛОКОНОВКА ВОЛОКОНОВСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; ГОЛОВЧИНО ГРАЙВОРОНСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; ГРУЗСКОЕ БОРИСОВСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; ГУБКИН БЕЛГОРОДСКОЙ ОБЛАСТИ; ДАЛЬНИЙ ВАЛУЙСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; ИВНЯ ИВНЯНСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; НИКОЛЬСКОЕ БЕЛГОРОДСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; НОВЫЙ ОСКОЛ БЕЛГОРОДСКОЙ ОБЛАСТИ; ОЛЬШАНКА ЧЕРНЯВСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; ОРЛИК ЧЕРНЯНСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; РАКИТНОЕ БЕЛГОРОДСКОЙ ОБЛАСТИ; РЖАВЕЦ ШЕБЕКИНСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; СОЛОТИ ВАЛУЙСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; СТАРЫЙ ОСКОЛ БЕЛГОРОДСКОЙ ОБЛАСТИ; УРАЗОВО ВАЛУЙСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; ЧЕРНЯНКА ЧЕРНЯНСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ; ЧИСТОПОЛЬЕ РАКИТЯНСКОГО РАЙОНА БЕЛГОРОДСКОЙ ОБЛАСТИ
rechNOIwjMPZYFHaL,Брестская область,БАРАНОВИЧИ БРЕСТСКОЙ ОБЛАСТИ РЕСПУБЛИКИ; БРЕСТ БРЕСТСКОЙ ОБЛАСТИ РЕСПУБЛИКИ; ЖАБИНКА БРЕСТСКОЙ ОБЛАСТИ РЕСПУБЛИКИ; ПИНСК БРЕСТСКОЙ ОБЛАСТИ РЕСПУБЛИКИ
recWndE8XhcL9VXAt,Брянская область,БРЯНСК БРЯНСКОЙ ОБЛАСТИ; ВЛАЗОВИЧИ СУРАЖСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; ВЫГОНИЧИ БРЯНСКОЙ ОБЛАСТИ; ГРАБАРОВКА ПОГАРСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; ДЯТЬКОВО БРЯНСКОЙ ОБЛАСТИ; ЗАДНЯ КЛЕТНЯНСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; КАРАЧЕВ БРЯНСКОЙ ОБЛАСТИ; КЛИМОВО БРЯНСКОЙ ОБЛАСТИ; ЛОКОТЬ БРАСОВСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; МГЛИН БРЯНСКОЙ ОБЛАСТИ; НАВЛЯ НАВЛИНСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; НОВОЗЫБКОВ БРЯНСКОЙ ОБЛАСТИ; НОВОЗЫБКОВА БРЯНСКОЙ ОБЛАСТИ; ПОГАР БРЯНСКОЙ ОБЛАСТИ; СИНЕЗЁРКИ НАВЛИНСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; СКРЯБИНО ВЫГОНИЧСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; СТАРОДУБ БРЯНСКОЙ ОБЛАСТИ; СТРУГОВО-БУДА ГОРДЕЕВСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; СУПОНЕВО БРЯНСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; ТРОСНА ЖУКОВСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ; УНЕЧА БРЯНСКОЙ ОБЛАСТИ
rec3nNHVW3eoWhKaX,Витебская область,ВИТЕБСК РЕСПУБЛИКИ; ЛЕПЕЛЬ ВИТЕБСКОЙ ОБЛАСТИ РЕСПУБЛИКИ; НОВОПОЛОЦК ВИТЕБСКОЙ ОБЛАСТИ РЕСПУБЛИКИ
rec8EgziGYv66SnJg,Владимирская область,АЛЕКСАНДРОВ ВЛАДИМИРСКОЙ ОБЛАСТИ; ВЛАДИМИР ВЛАДИМИРСКОЙ ОБЛАСТИ; ГИГАНТ КОВРОВСКОГО РАЙОНА ВЛАДИМИРСКОЙ ОБЛАСТИ; ГОЛОВИНО СУДОГОДСКОГО РАЙОНА ВЛАДИМИРСКОЙ ОБЛАСТИ; ГОРОД ВЛАДИМИР ВЛАДИМИРСКОЙ ОБЛАСТИ; ГОРОД КОВРОВ ВЛАДИМИРСКОЙ ОБЛАСТИ; ГОРОД ПОКРОВ ВЛАДИМИРСКОЙ ОБЛАСТИ; КОВРОВ ВЛАДИМИРСКОЙ ОБЛАСТИ; КОЛЬЧУГИНО ВЛАДИМИРСКОЙ ОБЛАСТИ; СТРУНИНО ВЛАДИМИРСКОЙ ОБЛАСТИ; СУДОГОРСКИЙ РАЙОН ВЛАДИМИРСКОЙ ОБЛАСТИ; СУЗДАЛЬ ВЛАДИМИРСКОЙ ОБЛАСТИ
